text,link,state,contributors,text_cleaned
✔️ PR #521 QL/Expressions - Fix IN and CASE statements (kevlabs),https://github.com/EQWorks/firstorder/pull/521,done,kevlabs, QL/Expressions - Fix IN and CASE statements
✔️ PR #520 QL/Logs - Fix ch fastview agg (kevlabs),https://github.com/EQWorks/firstorder/pull/520,done,kevlabs, QL/Logs - Fix ch fastview agg
✔️ PR #518 QL/Logs - Fix ch list (kevlabs),https://github.com/EQWorks/firstorder/pull/518,done,kevlabs, QL/Logs - Fix ch list
✔️ PR #515 Fix/DevOps - Fix VPC indent + missing env (kevlabs),https://github.com/EQWorks/firstorder/pull/515,done,kevlabs, Fix/DevOps - Fix VPC indent + missing env
✔️ PR #519 QL/Logs - Fix geo cohort column name (kevlabs),https://github.com/EQWorks/firstorder/pull/519,done,kevlabs, QL/Logs - Fix geo cohort column name
✔️ PR #517 QL/Logs - Add GeoCohort columns to imp (kevlabs),https://github.com/EQWorks/firstorder/pull/517,done,kevlabs, QL/Logs - Add GeoCohort columns to imp
✔️ PR #513 Dataset - create new endpoint to get LOCUS report directly (maluhoss),https://github.com/EQWorks/firstorder/pull/513,done,maluhoss, Dataset - create new endpoint to get LOCUS report directly
✔️ PR #511 Create quick query endpoint for notebook (maluhoss),https://github.com/EQWorks/firstorder/pull/511,done,maluhoss, Create quick query endpoint for notebook
✔️ PR #516 Dataset - make poi_id optional when getting individual LOCUS report (maluhoss),https://github.com/EQWorks/firstorder/pull/516,done,maluhoss, Dataset - make poi_id optional when getting individual LOCUS report
✔️ PR #505 ML/QL Overhaul - Executions + saved queries (kevlabs),https://github.com/EQWorks/firstorder/pull/505,done,kevlabs, ML/QL Overhaul - Executions + saved queries
👀 PR #948 marketplace filter selection (DoParkEQ),https://github.com/EQWorks/snoke/pull/948,needs review,DoParkEQ, marketplace filter selection
⚠️ PR #947 builder - geo_cohort step support for AOI enabled jobs (woozyking),https://github.com/EQWorks/snoke/pull/947,wip,woozyking, builder - geo_cohort step support for AOI enabled jobs
✔️ PR #946 hub - new s3 connector based direct upload (woozyking),https://github.com/EQWorks/snoke/pull/946,done,woozyking, hub - new s3 connector based direct upload
✔️ PR #939 ml - upgrade ml version + react-query version (hyx131),https://github.com/EQWorks/snoke/pull/939,done,hyx131, ml - upgrade ml version + react-query version
"⚠️ PR #895 ML connect (c: tlowande, a: hyx131)",https://github.com/EQWorks/snoke/pull/895,wip,"c: tlowande, a: hyx131"," ML connect (c: tlowande, a:"
👀 PR #76 cli - add locus get command for LOCUS API requests (woozyking),https://github.com/EQWorks/locussdk/pull/76,needs review,woozyking, cli - add locus get command for LOCUS API requests
✔️ PR #69 Dataset - modify ML routes in getting list of datasets (maluhoss),https://github.com/EQWorks/locussdk/pull/69,done,maluhoss, Dataset - modify ML routes in getting list of datasets
✔️ PR #75 Improve getting report based on report length (maluhoss),https://github.com/EQWorks/locussdk/pull/75,done,maluhoss, Improve getting report based on report length
"✔️ PR #74 devops - deps, README, and top-level export revisions (woozyking)",https://github.com/EQWorks/locussdk/pull/74,done,woozyking," devops - deps, README, and top-level export revisions"
✔️ PR #73 dataset/extra - get time zone geometries (woozyking),https://github.com/EQWorks/locussdk/pull/73,done,woozyking, dataset/extra - get time zone geometries
✔️ PR #70 Use export endpoints when getting LOCUS reports (maluhoss),https://github.com/EQWorks/locussdk/pull/70,done,maluhoss, Use export endpoints when getting LOCUS reports
✔️ PR #39 report - improve performance (bsandi1220),https://github.com/EQWorks/EnrichData/pull/39,done,bsandi1220, report - improve performance
✔️ PR #36 Quick Query util (maluhoss),https://github.com/EQWorks/EnrichData/pull/36,done,maluhoss, Quick Query util
✔️ PR #38 Report - create new handler to get LOCUS report directly (maluhoss),https://github.com/EQWorks/EnrichData/pull/38,done,maluhoss, Report - create new handler to get LOCUS report directly
✔️ PR #2 DepOps - Prod deploy workflow + switch from npm -g to npx (kevlabs),https://github.com/EQWorks/ml-airflow/pull/2,done,kevlabs, DepOps - Prod deploy workflow + switch from npm -g to npx
✔️ PR #1 ML Log updates + Query executions orchestration (kevlabs),https://github.com/EQWorks/ml-airflow/pull/1,done,kevlabs, ML Log updates + Query executions orchestration
✔️ PR #5 Handle individual log views + Support for direct invocation (kevlabs),https://github.com/EQWorks/ml-fusion-writer/pull/5,done,kevlabs, Handle individual log views + Support for direct invocation
👀 PR #1809 camp manage - geo cohort (eq-ianecc),https://github.com/EQWorks/overlord/pull/1809,needs review,eq-ianecc, camp manage - geo cohort
⚠️ PR #1808 geo cohort/reports (DoParkEQ),https://github.com/EQWorks/overlord/pull/1808,wip,DoParkEQ, geo cohort/reports
"⚠️ PR #1803 LocusPOI fix; update material-ui, @eqworks packages; replace react-labs/material-ui comps with lumen-ui, lumen-table comps; update yarn and fix errors (geoerika)",https://github.com/EQWorks/overlord/pull/1803,wip,geoerika," LocusPOI fix; update material-ui, @eqworks packages; replace react-labs/material-ui comps with lumen-ui, lumen-table comps; update yarn and fix errors"
✔️ PR #647 geo cohort manage (eq-ianecc),https://github.com/EQWorks/overseer/pull/647,done,eq-ianecc, geo cohort manage
✔️ PR #645 geo cohort details (eq-ianecc),https://github.com/EQWorks/overseer/pull/645,done,eq-ianecc, geo cohort details
✔️ PR #644 geo cohort lists (eq-ianecc),https://github.com/EQWorks/overseer/pull/644,done,eq-ianecc, geo cohort lists
✔️ PR #646 devops - remove incorrect counter docker service dependency for overseer (woozyking),https://github.com/EQWorks/overseer/pull/646,done,woozyking, devops - remove incorrect counter docker service dependency for overseer
✔️ PR #642 docs - add tunnel instruction for docker local dev option (woozyking),https://github.com/EQWorks/overseer/pull/642,done,woozyking, docs - add tunnel instruction for docker local dev option
✔️ PR #17 daily and weekly/long-range format re-organization (woozyking),https://github.com/EQWorks/updates/pull/17,done,woozyking, daily and weekly/long-range format re-organization
✔️ PR #20 journal - de-duplicate overlapping tasks between vacay & prev-day tas… (hyx131),https://github.com/EQWorks/avail-bot/pull/20,done,hyx131, journal - de-duplicate overlapping tasks between vacay & prev-day tas…
