text,link,state,contributors,text_cleaned
✔️ PR #88 ql - clear query builder state on wl/cu change (hyx131),https://github.com/EQWorks/ml-ui/pull/88,done,hyx131, ql - clear query builder state on wl/cu change
⚠️ PR #85 Add map widget (geoerika),https://github.com/EQWorks/ml-ui/pull/85,wip,geoerika, Add map widget
✔️ PR #70 Saved queries (hyx131),https://github.com/EQWorks/ml-ui/pull/70,done,hyx131, Saved queries
⚠️ PR #79 State Management with Easy-Peasy (woozyking),https://github.com/EQWorks/ml-ui/pull/79,wip,woozyking, State Management with Easy-Peasy
👀 PR #17 09 - set operations (bsandi1220),https://github.com/EQWorks/python-curriculum/pull/17,needs review,bsandi1220, 09 - set operations
⚠️ PR #19 add Quantitave & Qualitative filter (kc-leung),https://github.com/EQWorks/lumen-table/pull/19,wip,kc-leung, add Quantitave & Qualitative filter
⚠️ PR #70 Geo cohort map - create geojson map; data-based colour fill & elevation; tooltip; legend (geoerika),https://github.com/EQWorks/react-maps/pull/70,wip,geoerika, Geo cohort map - create geojson map; data-based colour fill & elevation; tooltip; legend
✔️ PR #69 ML Report Map -add legend (geoerika),https://github.com/EQWorks/react-maps/pull/69,done,geoerika, ML Report Map -add legend
⚠️ PR #68 heatmap example (DoParkEQ),https://github.com/EQWorks/react-maps/pull/68,wip,DoParkEQ, heatmap example
⚠️ PR #4 Stripe - Endpoints for the Billing (supuntennakoon),https://github.com/EQWorks/connector-stripe/pull/4,wip,supuntennakoon, Stripe - Endpoints for the Billing
⚠️ PR #3 Stripe- Endpoints for the payment methods and checkouts (supuntennakoon),https://github.com/EQWorks/connector-stripe/pull/3,wip,supuntennakoon, Stripe- Endpoints for the payment methods and checkouts
👀 PR #2 Stripe - Endpoints for the core resources (supuntennakoon),https://github.com/EQWorks/connector-stripe/pull/2,needs review,supuntennakoon, Stripe - Endpoints for the core resources
✔️ PR #1 lint fix (wwwmonsterlam),https://github.com/EQWorks/connector-stripe/pull/1,done,wwwmonsterlam, lint fix
